Rifugiato;Annuncio;Label
Scrittura di manuali tecnici;Redattore tecnico per manuali di prodotto e guide per utenti finali;1
Scrittura accademica e tesi di laurea;Tutor di scrittura per studenti universitari, specializzato in tesi e documenti accademici;1
Scrittura di sceneggiature;Scriptwriter per serie TV drammatiche con focus su dialoghi e sviluppo personaggi;1
Insegnamento di materie scolastiche (matematica, italiano);Tutor scolastico per ripetizioni di matematica e italiano, per studenti delle scuole superiori;1
Tutoraggio per studenti universitari;Educatore per supporto nella preparazione di esami di storia e filosofia;1
Assistenza ai compiti per bambini;Tutor scolastico per affiancamento in matematica e italiano per bambini delle scuole elementari;1
Insegnamento di lingue straniere;Insegnante di francese per corsi aziendali;1
Lavorare con bambini e animatori per eventi;Educatore per laboratori creativi e ricreativi per bambini;1
Supporto educativo per bambini con disabilità;Tutor scolastico per studenti con difficoltà di apprendimento;1
Lezioni di musica (pianoforte, chitarra);Maestro di chitarra per lezioni individuali e di gruppo;1
Lezioni di sport o personal trainer;Istruttore di fitness per corsi di gruppo in palestra;1
Creazione di corsi online;Esperto in formazione online per progettazione di moduli didattici digitali;1
Lavorazione del legno;Operatore CNC per taglio e rifinitura di pannelli in legno;1
Creazione di gioielli artigianali;Designer di gioielli per sviluppo di nuove collezioni artigianali;1
Cucito e riparazione di abiti;Addetto/a alla sartoria per riparazioni in negozio di abbigliamento;1
Decorazione di interni;Specialista in home staging per valorizzazione immobiliare;1
Falegnameria su misura;Artigiano del legno per realizzazione di mobili su misura;1
Realizzazione di sculture o opere d’arte;Artista plastico per installazioni urbane e monumentali;1
Restauro di mobili antichi;Artigiano del legno specializzato nel recupero di arredi d’epoca;1
Origami o arti decorative;Insegnante di arti decorative per corsi di origami e cartotecnica;1
Assistenza a persone anziane;Badante con esperienza per supporto quotidiano a persone anziane non autosufficienti;1
Cura e assistenza a persone con disabilità;Operatore socio-sanitario con esperienza in assistenza a persone disabili;1
Massaggi e trattamenti benessere;Estetista con esperienza in trattamenti benessere e massaggi facciali;1
Consulenza nutrizionale;Consulente nutrizionale per programma di benessere aziendale e formazione;1
Consulenza per fitness e allenamenti personalizzati;Consulente fitness per sviluppo di piani di allenamento su misura per diversi obiettivi;1
Babysitting e cura di bambini piccoli;Educatrice per asilo nido con esperienza nella cura di neonati e bambini piccoli;1
Coaching personale e motivazionale;Coach per miglioramento delle performance in team aziendali;1
Interpretariato in tempo reale;Traduttore per eventi aziendali e meeting di alto livello;1
Traduzione simultanea durante eventi;Interprete per eventi aziendali globali, con focus su lingua inglese;1
Insegnamento di italiano per stranieri;Docente di lingua italiana per studenti internazionali, livello A1-C2;1
Traduzione testi tecnici in inglese, francese, ecc.;Linguista tecnico per traduzioni specializzate di manuali d'uso e guide operative;1
Supporto per esami di certificazioni linguistiche;Insegnante di lingue con esperienza nella preparazione di certificazioni internazionali;1
Creazione di contenuti multilingue per aziende;Traduttore freelance per adattamento di contenuti aziendali in più lingue;1
Organizzazione di eventi e matrimoni;Event Manager per l'organizzazione di eventi privati e aziendali;1
Gestione di team e progetti complessi;Team Leader per sviluppo di soluzioni IT in ambito aziendale;1
Pianificazione logistica e trasporti;Coordinatore Trasporti per gestione efficiente delle rotte e dei carichi aziendali;1
Saldatura - ScuolaPrimaria;Tecnico saldatore per attività laboratoriali in ambito scolastico;1
Riparazione di elettrodomestici - ScuolaPrimaria;Specialista in assistenza tecnica per elettrodomestici scolastici;1
Manutenzione di impianti elettrici;Elettricista qualificato per installazione e manutenzione impianti elettrici civili;1
Manutenzione di impianti idraulici;Idraulico esperto in riparazioni e sostituzioni di tubature e caldaie;1
Riparazione di veicoli;Tecnico di officina per riparazione di veicoli industriali e camion;1
Verniciatura di pareti e superfici;Pittore edile per interni ed esterni con esperienza in decorazioni;1
Manutenzione del verde e giardinaggio;Addetto alla manutenzione del verde in aziende agricole e agriturismi;1
Manutenzione di ascensori;Addetto alla revisione e certificazione di impianti elevatori residenziali;1
Montaggio di mobili;Tecnico per montaggio e installazione di arredamenti per uffici;1
Riparazione di dispositivi elettronici;Esperto in riparazione di schede madri per computer e laptop;1
Installazione di climatizzatori;Addetto alla riparazione di condizionatori;1
Sostituzione di piastrelle e pavimenti;Addetto alla manutenzione di pavimenti industriali;1
Pulizia di case e abitazioni;Operatore per sanificazione e pulizia di appartamenti;1
Pulizia di uffici e locali commerciali;Personale addetto alla pulizia in centri commerciali;1
Sanificazione di ambienti;Specialista in igienizzazione di ambienti industriali;1
Lavaggio e stiratura di indumenti;Addetto/a alla stireria – Servizio di stiratura per capi delicati;1
Organizzazione degli spazi in casa;Interior designer esperto in ottimizzazione degli spazi abitativi;1
Pulizia di grandi superfici come magazzini;Addetto/a alla pulizia di centri commerciali e supermercati;1
Pulizia e cura di tappeti e tessuti delicati;Operatore per sanificazione di divani, tende e tappezzeria;1
Servizio di pulizia post-ristrutturazione;Specialista in pulizia profonda di appartamenti dopo lavori edilizi;1
Preparazione di pasti casalinghi;Aiuto cuoco per ristorazione familiare;1
Panificazione e preparazione di dolci;Aiuto pasticcere per laboratorio di dolci artigianali;1
Cucina internazionale (es. sushi, cucina messicana);Cuoco per ristorante fusion con esperienza in cucina asiatica;1
Preparazione di catering per eventi;Cuoco per servizio catering in eventi esclusivi;1
Barista e preparazione di cocktail;Addetto al banco bar per ristorante e cocktail lounge;1
Servizio ai tavoli;Cameriere per eventi e catering di lusso;1
Gestione di ristoranti e cucine;Restaurant Manager per catena di ristoranti italiani;1
Conoscenza di diete speciali (vegana, senza glutine);Consulente nutrizionale per piani alimentari personalizzati;1
Programmazione in Python;Ingegnere del software specializzato in automazione con Python;1
Programmazione in JavaScript;Full Stack Developer con esperienza in Node.js e JavaScript;1
Creazione di siti web (HTML/CSS);Programmatore junior per sviluppo siti vetrina e e-commerce;1
Sviluppo di applicazioni mobile;Programmatore di app per e-commerce su Android;1
Analisi dei dati con Excel o Power BI;Esperto in analisi finanziaria con utilizzo avanzato di Excel;1
Automazione dei processi con script;Data Engineer per ottimizzazione di pipeline ETL;1
Sviluppo di videogiochi;Game Designer per progetto di realtà virtuale;1
Configurazione di reti informatiche;Amministratore di sistema con esperienza in networking e firewall;1
Sicurezza informatica;Consulente per sicurezza informatica e compliance GDPR;1
Creazione di database;Analista dati con esperienza in database relazionali e Big Data;1
Assistenza tecnica hardware/software;Ingegnere hardware per progettazione e assistenza di sistemi informatici aziendali;1
Utilizzo di strumenti CAD;Disegnatore CAD per progettazione meccanica e creazione di prototipi industriali;1
Progettazione grafica (Photoshop, Illustrator);Web Designer esperto nella progettazione di interfacce utente con Photoshop;1
Progettazione di interni;Designer specializzato nella progettazione di interni di negozi e locali commerciali;1
Disegno tecnico e industriale;Progettista industriale con esperienza in realizzazione di schemi elettrici e meccanici;1
Progettazione 3D (Blender, AutoCAD);Architetto tecnico con competenze in AutoCAD e modellazione 3D avanzata;1
Fotografia professionale;Fotografo editoriale per riviste di lifestyle, cultura e tendenze;1
Editing video (Premiere, Final Cut);Content Creator specializzato in editing di video per social media;1
Creazione di loghi e brand identity;Designer freelance per creazione di loghi e materiali di marketing;1
Progettazione di materiali pubblicitari;Designer esperto in impaginazione di cataloghi aziendali;1
Creazione di contenuti per social media;Content Creator con esperienza in video brevi per TikTok e Reels;1
Produzione musicale;Sound Designer per sviluppo di effetti sonori in ambito gaming;1
Gestione di campagne pubblicitarie;Specialista PPC per ottimizzazione di campagne a pagamento;1
Creazione di contenuti per blog;Giornalista freelance per scrittura di articoli su attualità e cultura;1
Scrittura SEO per il web;Specialista in digital marketing con focus su SEO e strategie di content marketing;1
Analisi di mercato;Specialista in ricerche di mercato per il lancio di nuovi prodotti nel settore tech.;1
Gestione di account social media;Community Manager con esperienza nella gestione di interazioni e strategie di engagement online;1
Pianificazione di strategie di marketing digitale;Social Media Strategist per gestione campagne pubblicitarie su social network;1
Email marketing;Specialista in CRM ed email marketing per fidelizzazione clienti;1
Gestione di relazioni con i clienti (CRM);Responsabile vendite con competenze in CRM per gestione del ciclo di vendita;1
Pubblicità su piattaforme come Google Ads o Facebook Ads;Social Media Advertiser specializzato in strategie di advertising su Facebook e Instagram;1
Creazione di newsletter;Content Manager per la gestione e l'ottimizzazione di newsletter informative;1
Scrittura creativa e narrativa;Redattore di romanzi e racconti per casa editrice;1
Redazione di articoli giornalistici;Redattore specializzato in articoli di economia e finanza;1
Traduzione di documenti in lingue straniere;Traduttore freelance per testi scientifici e accademici;1
Revisione e correzione di testi;Specialista in revisione di testi per comunicazione aziendale e marketing;1
Scrittura di manuali tecnici;Specialista in documentazione tecnica per sistemi elettronici;1
Scrittura accademica e tesi di laurea;Consulente per la scrittura e la revisione di tesi di laurea in ambito umanistico e scientifico;1
Scrittura di sceneggiature;Sceneggiatore junior per produzione indipendente, esperienza in scrittura per cortometraggi;1
Insegnamento di materie scolastiche (matematica, italiano);Educatore per attività di supporto educativo in matematica e italiano a studenti con DSA;1
Tutoraggio per studenti universitari;Mentore accademico per studenti di ingegneria e architettura;1
Assistenza ai compiti per bambini;Collaboratore per assistenza pomeridiana ai compiti a casa per bambini con difficoltà di apprendimento;1
Insegnamento di lingue straniere;Tutor di spagnolo per lezioni private online;1
Lavorare con bambini e animatori per eventi;Coordinatore di attività ludiche per centri estivi e colonie;1
Supporto educativo per bambini con disabilità;Assistente educativo per inclusione scolastica;1
Lezioni di musica (pianoforte, chitarra);Docente di musica per corsi di pianoforte in conservatorio;1
Lezioni di sport o personal trainer;Esperto in riabilitazione sportiva e rieducazione motoria;1
Creazione di corsi online;Specialista in Learning Management System (LMS) per gestione e creazione di corsi online;1
Lavorazione del legno;Restauratore di mobili antichi con esperienza in intarsio;1
Creazione di gioielli artigianali;Incisore orafo esperto in tecniche di personalizzazione di gioielli;1
Cucito e riparazione di abiti;Sarto/a teatrale per realizzazione e adattamento costumi di scena;1
Decorazione di interni;Scenografo per allestimenti teatrali e cinematografici;1
Falegnameria su misura;Esperto in restauro e riproduzione di mobili d'epoca;1
Realizzazione di sculture o opere d’arte;Tecnico della scultura per lavorazione di materiali polimerici e resine;1
Restauro di mobili antichi;Tecnico del restauro per mobili d’epoca in una galleria d’arte;1
Origami o arti decorative;Designer per packaging creativo con tecniche di piegatura artistica;1
Assistenza a persone anziane;Infermiere specializzato in geriatria per struttura residenziale per anziani;1
Cura e assistenza a persone con disabilità;Educatore professionale per attività di riabilitazione e inclusione sociale;1
Massaggi e trattamenti benessere;Operatore olistico per massaggi Ayurvedici e trattamenti energetici;1
Consulenza nutrizionale;Dietista con esperienza nella gestione di diete per atleti professionisti;1
Consulenza per fitness e allenamenti personalizzati;Coach di fitness per attività di personalizzazione allenamenti e consulenze nutrizionali;1
Babysitting e cura di bambini piccoli;Nanny esperta in gestione quotidiana di bambini piccoli e attività ludiche educative;1
Coaching personale e motivazionale;Life Coach con focus sul miglioramento della qualità della vita;1
Interpretariato in tempo reale;Specialista in traduzioni simultanee per il settore diplomatico;1
Traduzione simultanea durante eventi;Traduttore simultaneo per conferenze tecniche, con esperienza in ingegneria;1
Insegnamento di italiano per stranieri;Tutor di italiano per studenti universitari stranieri in preparazione a esami di lingua;1
Traduzione testi tecnici in inglese, francese, ecc.;Traduttore tecnico per manuali e documentazione industriale in inglese e francese;1
Supporto per esami di certificazioni linguistiche;Specialista in coaching linguistico per studenti che devono sostenere esami di lingua;1
Creazione di contenuti multilingue per aziende;Responsabile marketing per creazione di contenuti multilingue per campagne internazionali;1
Organizzazione di eventi e matrimoni;Coordinatore di matrimoni con esperienza in location esclusive;1
Gestione di team e progetti complessi;Senior Project Manager con esperienza in gestione di team internazionali;1
Pianificazione logistica e trasporti;Pianificatore della Supply Chain con focus sulla gestione dei trasporti e delle scorte;1
Saldatura - ScuolaPrimaria;Educatore per corsi di saldatura rivolti a bambini della scuola primaria;1
Riparazione di elettrodomestici - ScuolaPrimaria;Tecnico per manutenzione e riparazione di attrezzature scolastiche elettroniche;1
Manutenzione di impianti elettrici;Esperto in manutenzione impianti elettrici industriali e automazione;1
Manutenzione di impianti idraulici;Manutentore specializzato in impianti idrico-sanitari per edifici residenziali;1
Riparazione di veicoli;Carrozziere esperto in riparazioni e verniciatura di autoveicoli;1
Verniciatura di pareti e superfici;Operaio specializzato in verniciatura a spruzzo per grandi superfici;1
Manutenzione del verde e giardinaggio;Tecnico del verde per progettazione e realizzazione di giardini;1
Manutenzione di ascensori;Tecnico specializzato in manutenzione preventiva e correttiva di ascensori industriali;1
